01000197040424302072022210221123424122470030000552       0720241   900001A    1000000000000002       2        00206304951202305500
01000197050822001082023109094 214002             10820231      2                             100000002        00247169132202305500
01000197060811101082023101094 214002             10820231      2                             100000002        00265544802202305500
01000198050513601032023210521150016152470050000062       0720241  1500001A    1000000000000002       2        00214918531202305500
01000199020224702062022204091123424152470020000582       0620241   900001A    1000000000000002       2        00209854811202305500
01000200010113201082023210134 223002             10820234      2                             100000002        00193589582202305500
01000200020222701082023210414 223002             10820234      2                             100000002        00212642712202305500
010002010203241020520222049111211241919600300001610820234      1   600005AE   050000000000050100400002        00172345281202305500
01000202030323601112018109111123460151860030000582       1120231   750005AE   0600000000000402       2        00172345281202305500
01000203020312401072023110421221208183500015000022       0320242                             2       2        00194533051202305500
010002040101153010920192046111221241515500160002410920212      2                             2       2        00144498392202305500
01000204020225102112019204091122252191960025000462       0320241   300006A    1000000000000002       2        00157520651202305500
01000204030312001052023109094 222032             10820231      2                             100500002        00174792262202305500
01000205040214802082023210831123324183960050000602       0820251   220001AD   0750000000250002       2        00162690311202305500
01000206030323101102019104911121150191960025000472       1220231   600005A    1000000000000002       2        00179708151202305500
01000207050223701022022209921122224191960025000192       0220241   400005A    1000000000000002       2        00174351991202305500
010002080101148011120182046111233241743500190002411120202      2                             2       2        00155668492202305500
01000208060814402072023204211150024121730060000542       0720251   150005A    1000000000000002       2        00173792141202305500
01000208070823802072023209091150024112470040000542       0720251   150005A    1000000000000002       2        00166826841202305500
010002090101154021020212109312212061315200400001210420222      2                             2       2        00155668492202305500
01000210020215802012023204931110035151550055000572       1220251  2880001AD   0900000000100002       2        00174549751202305500
01000211030313501032019110521123257152470040000542       1220231   100005A    1000000000000002       2        00173792141202305500
01000212020215002052023209831240009183520040000052       0220241  1200001AC   0500000500000002       2        00188941141202305500
01000213020322902042023104911121188191960020000062       8888881   350005A    1000000000000002       2        00208704881202305500
01000214020214802022023204831123324183490020000082       0220251   910005A    1000000000000002       2        00188941141202305500
01000215020224201072023210911122224191960020000022       0720251   100001A    1000000000000002       2        00156093161202305500
01000216020214103082023210831240009183520040000292       0520241   400001AC   0500000500000002       2        00162610321202305500
01000217020213002072023210721150088172330030000022       8888881   400001AC   0500000500000002       2        00146472541202305500
01000218020212902062023210831240008183520030000032       0220241   900001AC   0500000500000002       2        00146472541202305500
010002190101240011120182105211213431524700200004310620222      2                             2       2        00148042912202305500
01000219020214701102020210211123347121420050000352       0920241  1500001A    1000000000000002       2        00138140941202305500
01000220060823402022023404091121124191960020000362       0220251   550005A    1000000000000002       2        00152590841202305500
01000221080725001102022304521121136191960040000112       1020251  1200005AC   0700000300000002       2        00150590261202305500
01000222020223801012022209091123540153960040000202       0520251  1200001A    1000000000000002       2        00148042911202305500
010002230303238011120212095111234171519600210001710420234      2                             100500002        00203979451202305500
01000224020226402072022204094 500122             10720224      2                             2       2        00161909642202305500
01000225020322801032023108521123225152470015000062       0420251   200001A    1000000000000002       2        00210245771202305500
01000226080322601112022104521123424191860019000102       1120241    30005A    1000000000000002       2        00210245771202305500
01000227020226301092023210094 234032             2       1220232                             2       2        00161909642202305500
01000228040413401042023204911123424194560025000052       0420251   100005A    1000000000000002       2        00191407411202305500
01000228050823301042022204521123425152470025000172       0520241   300005A    1000000000000002       2        00210245771202305500
010002290101232011120211045311211191538700200001910620234      2                             101200002        00210245771202305500
01000230020215301032023204611160037193410050000062       0420261  1000005AC   0750000250000002       2        00222151261202305500
01000231020223901082023204091123324191960015000012       0820251   110005A    1000000000000002       2        00238075111202305500
01000232020214201052022204611121125191960028000162       0620241   780005A    1000000000000002       2        00248015151202305500
010002330202243010320192099111233241919600220002410320212      2                             2       2        00238075112202305500
01000234020224802072023204911121188191960020000512       8888881   200005A    1000000000000002       2        00152116971202305500
010002350101162011120192114111500411432100400004110420232      2                             100700002        00183343861202305500
01000235020225101112022211224 500012             11220221      2                             2       2        00178247042202305500
01000235030321301122022103094 500012             10120231      2                             2       2        00250130462202305500
01000236030513902082019209521123488152470020000482       8888881   600005A    1000000000000002       2        00241607751202305500
01000237030322601112022110311150024131010030000102       1120241   500005A    1000000000000002       2        00239049311202305500
01000238020222801012023204921121124191960020000082       0120251   160005A    1000000000000002       2        00239049311202305500
01000239040223701072022204091121125191960035000142       0820241   150001A    1000000000000002       2        00226680741202305500
01000240080322901022023404091123437191960018000072       0320262                             2       2        00233644461202305500
020002410101270010520192112211233071228601200000711220192      2                             2       2        00002194612202300900
02000242040423902022019204521121160151560045000552       0220241   100001A    1000000000000002       2        00002259141202300900
02000243050312902052023110831222208183500040000162       0120241   600001A    1000000000000002       2        00002713971202300900
02000244050323301092021104961123228193150025000242       0120241   600005A    1000000000000002       2        00003784371202300900
02000245050323001072019108921121188191960022000502       8888881   230001A    1000000000000002       2        00003975501202300900
02000246020227701102019211114 500062             10420202      2                             2       2        00002216252202300900
02000247010126201102022310614 234022             11220222      2                             2       2        00002264652202300900
020002480303131020520221105112400081515000600002410220232      2                             100000002        00002886172202300900
02000249040313301122019104921121348181250040000452       1220231   800005B    0001000000000002       2        00086378861202301500
02000249050323001122018109521121360193200035000572       1220231  1200005AB   0200800000000002       2        00099380771202301500
02000250040323202122021109521123522191960030000602       1020231   300005A    1000000000000002       2        00099380771202301500
02000251060322902012023103921123135191960030000262       1220251   170005A    1000000000000002       2        00099380771202301500
020002520603230010820211109211233251919600280002510920232      1   120005A    100000000000000102000002        00099380771202301500
02000253070424001122020404921123136191960030000332       1220231   180005AE   0800000000000202       2        00070441181202301500
02000254030323501042020409911123348191960025000412       0420241   430005AC   0600000400000002       2        00084216351202301500
