,RREG,RHHNUM,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_2DGT,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_RETURN,RQ14_INDWORK,RQ15_2DGT,RQ16_2DGT,RQ17_AVEMINC,RQ18_NOMONTH,RQ19_RET,RQ20M_DTRET,RQ20Y_DTRET,RQ21_REASON,RQ22M_DTEXP,RQ22Y_DTEXP,RQ23_CASHREM,RQ24_CASHAMT,RQ25_MODE,RQ26_REMITTANCE_SPENT,RQ261P_CONSUM,RQ262P_INVEST,RQ263P_SAVINGS,RQ264P_GIFT,RQ265P_OTHERS,RQ27_RET6MOS,RQ28_CASHHOME,RQ29_INKIND,RQ30_KINDAMT,RSWGT,RP6M_IND,RSVYYR,RPRRCD
69,1,53,2,2,2,47,2,7,2023,2,04,52,1,1,211,24,1,91,96,0030000,53,2,  ,    , ,07,2025,1,   30000,5,A    ,100,000,000,000,000,2,       ,2,        ,392.0373,1,2023,2800
70,1,54,6,3,1,38,2,12,2022,1,10,23,1,1,234,36,1,23,85,0060000,57,2,  ,    , ,12,2025,1,   90000,5,A    ,100,000,000,000,000,2,       ,2,        ,377.6756,1,2023,2800
71,1,55,6,5,1,37,1,5,2023,2,10,22,1,1,500,88,1,53,96,0144000,04,2,  ,    , ,88,8888,1,  160000,1,AC   ,050,000,050,000,000,2,       ,2,        ,402.4043,1,2023,2800
72,1,56,3,2,2,64,1,10,2019,2,08,92,1,1,235,88,1,91,96,0040000,47,2,  ,    , ,88,8888,1,   60000,5,A    ,100,000,000,000,000,2,       ,2,        ,412.4571,1,2023,2800
73,1,57,6,5,2,25,2,9,2023,2,10,52,1,1,211,24,1,91,96,0032000,48,2,  ,    , ,09,2025,1,   40000,5,A    ,100,000,000,000,000,1,0020000,1,00035000,466.0458,1,2023,2800
74,1,58,5,2,2,35,1,7,2022,2,08,09,1,1,235,24,1,13,96,0030000,14,2,  ,    , ,07,2024,1,  120000,5,AC   ,050,000,050,000,000,2,       ,2,        ,385.543,1,2023,2800
75,1,59,9,3,2,33,2,9,2023,1,10,52,1,1,213,24,1,93,28,0040000,48,2,  ,    , ,09,2025,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,416.0291,1,2023,2800
76,1,60,4,3,1,28,4,11,2022,1,10,09,1,2,212,9,1,83,50,0070000,36,1,09,2023,2,  ,    ,1,  120000,1,A    ,100,000,000,000,000,1,0120000,2,        ,367.684,1,2023,2800
77,1,61,5,3,2,39,1,7,2022,1,04,93,1,1,400,36,1,91,96,0040000,14,2,  ,    , ,07,2025,1,  120000,1,A    ,100,000,000,000,000,2,       ,2,        ,385.543,1,2023,2800
78,1,62,4,2,1,60,4,7,2023,2,10,14,1,2,500,10,1,83,50,0170000,51,2,  ,    , ,05,2024,1,  150000,1,AC   ,070,000,030,000,000,1,0020000,2,        ,377.8028,1,2023,2800
79,1,63,4,3,1,38,1,2,2020,4,08,52,1,1,213,88,1,93,23,0040000,43,2,  ,    , ,88,8888,1,   90000,5,A    ,100,000,000,000,000,2,       ,2,        ,394.8427,1,2023,2800
80,1,64,2,3,2,33,2,2,2023,1,04,42,1,1,235,24,1,91,96,0025000,55,2,  ,    , ,02,2025,1,   30000,5,A    ,100,000,000,000,000,2,       ,1,00030000,457.2883,1,2023,2800
81,1,64,3,3,2,31,2,2,2023,1,04,42,1,1,235,24,1,91,96,0025000,55,2,  ,    , ,02,2025,1,   30000,5,A    ,100,000,000,000,000,2,       ,1,00030000,457.2883,1,2023,2800
